SURNAME,FREQUENCY
ROWE,"69,879"
GALLAGHER,"69,834"
FARMER,"69,617"
HAMMOND,"69,515"
HAMPTON,"69,472"
TOWNSEND,"69,360"
INGRAM,"69,345"
WISE,"68,649"
GALLEGOS,"68,373"
CLARKE,"68,281"
BARTON,"68,233"
SCHROEDER,"67,977"
MAXWELL,"67,961"
WATERS,"67,929"
LOGAN,"67,909"
CAMACHO,"67,893"
STRICKLAND,"67,769"
NORMAN,"67,704"
PERSON,"67,411"
COLON,"67,338"
PARSONS,"67,310"
FRANK,"67,304"
HARRINGTON,"66,959"
GLOVER,"66,858"
OSBORNE,"66,827"
BUCHANAN,"66,648"
CASEY,"66,556"
FLOYD,"66,454"
PATTON,"66,293"
IBARRA,"66,063"
BALL,"66,059"
TYLER,"66,056"
SUAREZ,"66,013"
BOWERS,"66,003"
OROZCO,"65,904"
SALAS,"65,468"
COBB,"65,125"
GIBBS,"65,064"
ANDRADE,"65,037"
BAUER,"65,004"
CONNER,"64,572"
MOODY,"64,429"
ESCOBAR,"64,403"
MCGUIRE,"64,327"
LLOYD,"64,202"
MUELLER,"64,191"
HARTMAN,"64,106"
FRENCH,"63,991"
KRAMER,"63,936"
MCBRIDE,"63,899"
POPE,"63,881"
LINDSEY,"63,760"
VELAZQUEZ,"63,736"
NORTON,"63,722"
MCCORMICK,"63,649"
SPARKS,"63,440"
FLYNN,"63,400"
YATES,"63,254"
HOGAN,"63,085"
MARSH,"62,304"
MACIAS,"62,227"
VILLANUEVA,"61,883"
ZAMORA,"61,729"
PRATT,"61,671"
STOKES,"61,639"
OWEN,"61,630"
BALLARD,"61,625"
LANG,"61,529"
BROCK,"61,369"
VILLARREAL,"61,355"
CHARLES,"61,211"
DRAKE,"61,162"
BARRERA,"60,998"
CAIN,"60,948"
PATRICK,"60,845"
PINEDA,"60,820"
BURNETT,"60,791"
MERCADO,"60,761"
SANTANA,"60,667"
SHEPHERD,"60,479"
BAUTISTA,"60,264"
ALI,"60,002"
SHAFFER,"59,943"
LAMB,"59,913"
TREVINO,"59,882"
MCKENZIE,"59,595"
HESS,"59,486"
BEIL,"59,463"
OLSEN,"59,356"
COCHRAN,"59,350"
MORTON,"59,213"
NASH,"58,714"
WILKINS,"58,634"
PETERSEN,"58,480"
BRIGGS,"58,408"
SHAH,"58,287"
ROTH,"58,278"
NICHOLSON,"58,151"
HOLLOWAY,"58,040"
LOZANO,"57,779"
RANGEL,"57,549"
FLOWERS,"57,549"
HOOVER,"57,497"
SHORT,"57,477"
ARIAS,"57,477"
MORA,"57,464"
VALENZUELA,"57,383"
BRYAN,"57,143"
MEYERS,"57,127"
WEISS,"57,112"
UNDERWOOD,"57,064"
BASS,"57,044"
GREER,"57,043"
SUMMERS,"56,953"
HOUSTON,"56,900"
CARSON,"56,872"
MORROW,"56,840"
CLAYTON,"56,638"
WHITAKER,"56,616"
DECKER,"56,576"
YODER,"56,410"
COLLIER,"56,380"
ZUNIGA,"56,347"
CAREY,"56,322"
WILCOX,"56,286"
MELENDEZ,"56,230"
POOLE,"56,226"
ROBERSON,"56,180"
LARSEN,"55,960"
CONLEY,"55,917"
DAVENPORT,"55,895"
COPELAND,"55,850"
MASSEY,"55,595"
LAM,"55,554"
HUFF,"55,484"
ROCHA,"55,251"
CAMERON,"55,240"
JEFFERSON,"55,179"
HOOD,"55,174"
MONROE,"55,136"
ANTHONY,"55,114"
PITTMAN,"55,021"
HUYNH,"54,996"
RANDALL,"54,764"
SINGLETON,"54,621"
KIRK,"54,394"
COMBS,"54,257"
MATHIS,"54,217"
CHRISTIAN,"54,198"
SKINNER,"54,046"
BRADFORD,"54,015"
RICHARD,"53,893"
GALVAN,"53,822"
WALL,"53,794"
BOONE,"53,792"
KIRBY,"53,767"
WILKINSON,"53,739"
BRIDGES,"53,682"
BRUCE,"53,419"
ATKINSON,"53,376"
VELEZ,"53,265"
MEZA,"53,230"
ROY,"53,159"
VINCENT,"53,095"
YORK,"53,059"
HODGE,"52,920"
VILLA,"52,817"
ABBOTT,"52,739"
ALLISON,"52,701"
TAPIA,"52,651"
GATES,"52,569"
CHASE,"52,481"
SOSA,"52,457"
SWEENEY,"52,410"
FARRELL,"52,321"
WYATT,"52,211"
DALTON,"52,184"
HORN,"52,138"
BARRON,"52,070"
PHELPS,"52,044"
YU,"52,035"
DICKERSON,"51,889"
HEATH,"51,877"
FOLEY,"51,865"
ATKINS,"51,671"
MATHEWS,"51,592"
BONILLA,"51,475"
ACEVEDO,"51,351"
BENITEZ,"51,288"
ZAVALA,"51,153"
HENSLEY,"51,081"
GLENN,"51,043"
CISNEROS,"50,920"
HARRELL,"50,837"
SHIELDS,"50,832"
RUBIO,"50,788"
HUFFMAN,"50,786"
CHOI,"50,786"
BOYER,"50,742"
GARRISON,"50,686"
ARROYO,"50,614"
BOND,"50,610"
KANE,"50,584"
HANCOCK,"50,558"
CALLAHAN,"50,524"
DILLON,"50,465"
CLINE,"50,258"
WIGGINS,"50,247"
GRIMES,"50,245"
ARELLANO,"50,104"
MELTON,"50,069"
ONEILL,"50,028"
SAVAGE,"49,914"
HO,"49,817"
BELTRAN,"49,776"
PITTS,"49,740"
PARRISH,"49,733"
PONCE,"49,549"
RICH,"49,481"
BOOTH,"49,402"
KOCH,"49,395"
GOLDEN,"49,360"
WARE,"49,316"
BRENNAN,"49,238"
MCDOWELL,"49,217"
MARKS,"49,177"
CANTU,"49,126"
HUMPHREY,"49,056"
BAXTER,"49,033"
SAWYER,"49,028"
CLAY,"48,844"
TANNER,"48,813"
HUTCHINSON,"48,781"
KAUR,"48,753"
BERG,"48,746"
WILEY,"48,720"
GILMORE,"48,719"
RUSSO,"48,696"
VILLEGAS,"48,599"
HOBBS,"48,522"
KEITH,"48,487"
WILKERSON,"48,444"
AHMED,"48,319"
BEARD,"48,207"
MCCLAIN,"48,165"
MONTES,"48,142"
MATA,"48,120"
ROSARIO,"48,051"
VANG,"48,036"
WALTER,"48,024"
HENSON,"48,013"
ONEAL,"47,979"
MOSLEY,"47,963"
MCCLURE,"47,742"
BEASLEY,"47,693"
STEPHENSON,"47,641"
SNOW,"47,528"
HUERTA,"47,455"
PRESTON,"47,367"
VANCE,"47,324"
BARRY,"47,274"
JOHNS,"47,246"
EATON,"47,184"
BLACKWELL,"47,175"
DYER,"47,170"
PRINCE,"47,168"
MACDONALD,"46,717"
SOLOMON,"46,534"
GUEVARA,"46,454"
STAFFORD,"46,394"
ENGLISH,"46,393"
HURST,"46,244"
WOODARD,"46,240"
CORTES,"46,229"
SHANNON,"46,147"
KEMP,"46,146"
NOLAN,"46,054"
MCCULLOUGH,"45,852"
MERRITT,"45,594"
MURILLO,"45,558"
MOON,"45,528"
SALGADO,"45,469"
STRONG,"45,432"
KLINE,"45,390"
CORDOVA,"45,305"
BARAJAS,"45,153"
ROACH,"45,019"
ROSAS,"44,938"
WINTERS,"44,914"
JACOBSON,"44,808"
LESTER,"44,784"
KNOX,"44,742"
BULLOCK,"44,740"
KERR,"44,711"
LEACH,"44,581"
MEADOWS,"44,500"
